personLabel,occupationLabel,birthdate,deathdate,nationalityLabel,awardLabel
Clara Eaton Cummings,botanist,1855-07-13T00:00:00Z,1906-12-28T00:00:00Z,United States of America,AAAS Fellow
Maureen Baker,physician,1958-09-20T00:00:00Z,,,Fellow of the Royal College of General Practitioners
Susanne Pechel,physician,1966-03-19T00:00:00Z,,Germany,Cross of the Order of Merit of the Federal Republic of Germany
Kleopatra Shevchenko,physician,1909-10-13T00:00:00Z,1988-04-26T00:00:00Z,Soviet Union,Order of the Red Banner of Labour
Elêna Maria de Lamare Occhioni,botanist,1955-01-01T00:00:00Z,,Brazil,
Maria Chmiel,physician,1929-05-10T00:00:00Z,1991-04-18T00:00:00Z,Poland,Medal for Warsaw 1939-1945
Eva Klein,physician,1925-01-22T00:00:00Z,,Sweden,Eric K. Fernströms Nordiska Pris
Nataša Šešum,mathematician,,,,Fellow of the American Mathematical Society
Anetta Undas,physician,1965-01-01T00:00:00Z,,Poland,
Deqo Mohamed,physician,,,Somalia,Woman of the Year
Lillian H. South,physician,1879-01-31T00:00:00Z,1966-09-13T00:00:00Z,United States of America,
Lucy Wills,physician,1888-05-10T00:00:00Z,1964-04-26T00:00:00Z,United Kingdom,
Monika Ritsch-Marte,physicist,1961-09-26T00:00:00Z,,Austria,Ludwig Boltzmann Prize
Mary Jane West-Eberhard,biologist,1941-08-20T00:00:00Z,,United States of America,Sewall Wright Award
Manju Ray,chemist,1947-01-01T00:00:00Z,,Dominion of India,Shanti Swarup Bhatnagar Prize for Science and Technology
Krystyna Kamieńska-Trela,chemist,1938-12-19T00:00:00Z,2015-02-11T00:00:00Z,Poland,
Aleksandra Buvanova,physician,1924-05-27T00:00:00Z,2017-05-27T00:00:00Z,Soviet Union,Hero of Socialist Labour
Audrey Delsanti,astronomer,1976-08-27T00:00:00Z,,France,
Celia Mary Oakley,physician,1931-01-01T00:00:00Z,2014-01-01T00:00:00Z,,
Gillian Bates,biologist,1956-05-19T00:00:00Z,,United Kingdom,Doctor of Philosophy
Sara Seager,physicist,1971-07-21T00:00:00Z,,Canada,Helen B. Warner Prize for Astronomy
Lilian Vaughan Morgan,biologist,1870-07-07T00:00:00Z,1952-12-06T00:00:00Z,United States of America,
Ekaterina Feoktistova,engineer,1915-03-18T00:00:00Z,1987-01-05T00:00:00Z,,Order of the Red Banner of Labour
Susan T. Dumais,engineer,2000-01-01T00:00:00Z,,United States of America,Athena Lecturer
Helen Hughes,botanist,1929-01-01T00:00:00Z,,New Zealand,Fulbright Scholarship
Dorothea Blostein,computer scientist,1953-01-01T00:00:00Z,,Canada,
Geneva Sayre,botanist,1911-06-12T00:00:00Z,1992-01-01T00:00:00Z,,
Claudia Eckert,computer scientist,1959-07-14T00:00:00Z,,Germany,
María Amelia Chemisquy,botanist,1980-01-01T00:00:00Z,,Argentina,
Yvette Amice,mathematician,1936-06-04T00:00:00Z,1993-07-04T00:00:00Z,France,Cours Peccot
Q100556430,physician,1966-12-07T00:00:00Z,,Soviet Union,
Ida Noddack,physicist,1896-02-25T00:00:00Z,1978-09-24T00:00:00Z,Germany,Liebig Medal
Lucie Green,astronomer,1975-01-01T00:00:00Z,,United Kingdom,Lise Meitner Medal and Prize
Renée D'hose,botanist,1925-01-01T00:00:00Z,2000-01-01T00:00:00Z,,
Rajaâ Cherkaoui El Moursli,physicist,1954-05-12T00:00:00Z,,Morocco,Member of the Hassan II Academy of Sciences and Technologies
Araxie Babayan,chemist,1906-05-07T00:00:00Z,1993-02-13T00:00:00Z,Armenia,Order of Friendship of Peoples
Roberta Bondar,biologist,1945-12-04T00:00:00Z,,Canada,honorary doctorate at the Laval University
Yamuna Krishnan,chemist,1974-05-25T00:00:00Z,,India,Infosys Prize
Claire Rougeulle,biologist,1969-01-12T00:00:00Z,,France,CNRS bronze medal
Maïga Zeïnab Mint Youba,physician,1955-11-30T00:00:00Z,,Mali,
Réka Albert,biologist,1972-03-02T00:00:00Z,,Romania,Maria Goeppert-Mayer Award
Jenna Lê,physician,,,United States of America,
Charlotta Frölich,physicist,1698-11-28T00:00:00Z,1770-07-21T00:00:00Z,Sweden,
Catharina Stroppel,mathematician,1971-08-06T00:00:00Z,,Germany,Whitehead Prize
Erzsébet Kékedy,chemist,1919-03-12T00:00:00Z,2009-06-08T00:00:00Z,,
Eve Palmer,botanist,1916-02-20T00:00:00Z,1998-01-01T00:00:00Z,South Africa,
Mariya Kovrigina,physician,1910-07-06T00:00:00Z,1995-03-12T00:00:00Z,Soviet Union,"Medal ""Veteran of Labour"""
Rita Ng,physician,1978-01-01T00:00:00Z,,,
Luciana Fernandes Gomes da Silva,botanist,1980-01-01T00:00:00Z,,Brazil,
Nicole Marthe Le Douarin,biologist,1930-08-20T00:00:00Z,,France,Honorary doctor of the University of Geneva
Triin Veber,biologist,1976-06-22T00:00:00Z,,Estonia,
Erika Cremer,physicist,1900-05-20T00:00:00Z,1996-09-21T00:00:00Z,Germany,Wilhelm Exner Medal
Vera Myller,mathematician,1880-12-01T00:00:00Z,1970-12-12T00:00:00Z,Romania,
Sarah Garland Boyd Jones,physician,1865-01-01T00:00:00Z,1905-01-01T00:00:00Z,,
Isabel Joy Bear,chemist,1927-01-04T00:00:00Z,,Australia,Fellow of the Australasian Institute of Mining and Metallurgy
Vera Zamyatina,chemist,1906-01-01T00:00:00Z,1992-01-01T00:00:00Z,Soviet Union,"Medal ""In Commemoration of the 800th Anniversary of Moscow"""
Grace Hopper,mathematician,1906-12-09T00:00:00Z,1992-01-01T00:00:00Z,United States of America,Wilbur Cross Medal
Tamara Plaksina,botanist,1937-01-20T00:00:00Z,,Soviet Union,
Janet Conrad,physicist,1963-10-23T00:00:00Z,,United States of America,Maria Goeppert-Mayer Award
Eleanor G. Rieffel,mathematician,1965-01-01T00:00:00Z,,,
Lisa Piccirillo,mathematician,,,United States of America,Maryam Mirzakhani New Frontiers Prize
Takeko Kutsunugi,physician,1922-07-07T00:00:00Z,2005-06-10T00:00:00Z,Japan,
Hilary Priestley,mathematician,,,,
Halina Rubinsztein-Dunlop,physicist,1950-01-01T00:00:00Z,,Poland,Officer of the Order of Australia
Nina Probatova,botanist,1939-01-01T00:00:00Z,,Russia,
Michele Dougherty,physicist,1962-01-01T00:00:00Z,,South Africa,Hughes Medal
Antonina Polozhy,botanist,1917-05-12T00:00:00Z,2003-11-20T00:00:00Z,Russia,"Jubilee Medal ""50 Years of Victory in the Great Patriotic War 1941–1945"""
Roberta Townsend,botanist,1954-09-21T00:00:00Z,,Australia,
Lyudmila Kravets,physician,1923-02-07T00:00:00Z,2015-05-23T00:00:00Z,,"Medal ""For the Liberation of Warsaw"""
Jennifer Doudna,chemist,1964-02-19T00:00:00Z,,United States of America,Gruber Prize in Genetics
Tatyana Satyukova,physician,1929-04-12T00:00:00Z,2013-08-06T00:00:00Z,Russia,Order of the Patriotic War 1st class
Dominique Meyer,biologist,1939-10-05T00:00:00Z,,France,Montyon Prize - Science
Marie Curie,physicist,1867-11-07T00:00:00Z,1934-07-04T00:00:00Z,France,Legion of Honour
Vera Kashcheyeva,physician,1922-09-15T00:00:00Z,1975-05-20T00:00:00Z,Soviet Union,Florence Nightingale Medal
Anna Mullikin,mathematician,1893-03-07T00:00:00Z,1975-08-24T00:00:00Z,United States of America,
Reiko Kuroda,chemist,1947-01-01T00:00:00Z,,Japan,Saruhashi Prize
Shen Zhiquan,chemist,1931-01-01T00:00:00Z,,Republic of China (1912–1949),
Selina Tobaccowala,engineer,,,,
Elvira Rawson,physician,1867-04-19T00:00:00Z,1954-06-04T00:00:00Z,Argentina,
Vanessa Evers,computer scientist,1974-01-01T00:00:00Z,,Kingdom of the Netherlands,OPZIJ talent award
Maxine Singer,biologist,1931-02-15T00:00:00Z,,United States of America,Wilbur Cross Medal
Tamila Petrovskaja,engineer,1944-01-01T00:00:00Z,,Ukraine,
Vera Popova,chemist,1867-09-17T00:00:00Z,1896-04-25T00:00:00Z,Russian Empire,
Ida P. Mandenova,botanist,1908-07-26T00:00:00Z,1998-09-04T00:00:00Z,Soviet Union,
Bita Daryabari,computer scientist,1969-04-06T00:00:00Z,,United States of America,Ellis Island Medal of Honor
Klara Rásky,biologist,1908-03-18T00:00:00Z,1971-09-14T00:00:00Z,Hungary,
Geneviève Almouzni,biologist,1960-08-09T00:00:00Z,,France,Officer of the National Order of Merit
Maria Pogonowska,physicist,1897-10-30T00:00:00Z,2009-07-15T00:00:00Z,Poland,
Geneva Sayre,botanist,1911-06-12T00:00:00Z,1992-05-26T00:00:00Z,,
Aïcha Ouyahya,botanist,,,,
Maria Elena Zavala,biologist,,,United States of America,AAAS Fellow
Carol A. Todzia,botanist,,,,
Brit Salbu,chemist,1947-01-01T00:00:00Z,,Norway,
Eny C. Vianna,botanist,,,,
Gretchen Walters,botanist,,,,
Helena Karczewska,botanist,,,,
Jeanne Baré,botanist,1740-07-27T00:00:00Z,1807-08-05T00:00:00Z,France,
Anne Glover,biologist,1956-04-19T00:00:00Z,,United Kingdom,Fellow of the Royal Society
Jin Ning Zhang,botanist,,,,
Joan Hofmeyr,botanist,,,,
Mara Angelina Galvão Magenta,botanist,1959-01-01T00:00:00Z,,Brazil,
Maria Ales,mathematician,1899-12-27T00:00:00Z,t1820551821,Italy,
Michelle Coote,chemist,2000-01-01T00:00:00Z,,Australia,Georgina Sweet Australian Laureate Fellowship
Victoria Kaspi,physicist,1967-06-30T00:00:00Z,,United States of America,Gerhard Herzberg Canada Gold Medal for Science and Engineering
Caroline Herzenberg,physicist,1932-03-25T00:00:00Z,,,Chicago Women's Hall of Fame
Juliette Kennedy,mathematician,,,,
Isabel Martin Lewis,astronomer,1881-07-11T00:00:00Z,1966-07-31T00:00:00Z,United States of America,
Irina Kalits,physician,1928-04-10T00:00:00Z,,,
Matsusu Horimi,engineer,1876-01-01T00:00:00Z,1966-01-01T00:00:00Z,Japan,
Sheila Sherlock,physician,1918-03-31T00:00:00Z,2001-12-30T00:00:00Z,United Kingdom,honorary doctorate of the University of Valladolid
Carrie Derick,botanist,1862-01-14T00:00:00Z,1941-11-10T00:00:00Z,Canada,Professor Emeritus
Yvonne Brill,engineer,1924-12-30T00:00:00Z,2013-03-27T00:00:00Z,Canada,Society of Women Engineers Achievement Award
Vera Pless,mathematician,1931-03-05T00:00:00Z,2020-03-02T00:00:00Z,United States of America,Fellow of the American Mathematical Society
Irén Barát,physician,1890-07-15T00:00:00Z,1972-01-18T00:00:00Z,Hungary,State Award of the People's Republic of Hungary
Amparo Poch y Gascón,physician,1902-10-15T00:00:00Z,1968-04-15T00:00:00Z,Spain,
Sallie W. Chisholm,biologist,1947-11-05T00:00:00Z,,United States of America,National Medal of Science
Tasha Inniss,mathematician,,,United States of America,
Lucile Allorge,botanist,1937-01-01T00:00:00Z,,France,Prix de Coincy
Q61105762,physician,1896-01-01T00:00:00Z,1976-01-01T00:00:00Z,,
Danielle Carr Ramdath,mathematician,,,,
Anja Feldmann,computer scientist,1966-03-08T00:00:00Z,,Germany,Gottfried Wilhelm Leibniz Prize
Q27859099,biologist,1913-04-28T00:00:00Z,2010-08-11T00:00:00Z,Soviet Union,"Jubilee Medal ""60 Years of Victory in the Great Patriotic War 1941–1945"""
Margaret Seward,chemist,1864-01-22T00:00:00Z,1929-05-29T00:00:00Z,United Kingdom of Great Britain and Ireland,
Rosa Efimovna Levina,botanist,1908-01-01T00:00:00Z,1987-01-01T00:00:00Z,Soviet Union,Order of the Badge of Honour
Q28497525,chemist,1913-01-01T00:00:00Z,,Soviet Union,Stalin Prize
Muriel Chapman,chemist,1894-01-01T00:00:00Z,1988-01-01T00:00:00Z,United Kingdom of Great Britain and Ireland,
Q85877310,physician,1926-07-25T00:00:00Z,,Japan,
Alison Gail Smith,botanist,2000-01-01T00:00:00Z,,United Kingdom,Fellow of the Royal Society of Biology
Marie Heim-Vögtlin,physician,1845-10-07T00:00:00Z,1916-11-07T00:00:00Z,Switzerland,
Liv Aagot Hundevadt,physician,1932-04-02T00:00:00Z,2020-01-29T00:00:00Z,Norway,
Gertrude B. Elion,chemist,1918-01-23T00:00:00Z,1999-02-21T00:00:00Z,United States of America,National Women's Hall of Fame
Frédérique Lenger,mathematician,1921-12-08T00:00:00Z,2005-09-01T00:00:00Z,Belgium,
Tilla Weinstein,mathematician,1934-01-01T00:00:00Z,2002-01-21T00:00:00Z,United States of America,
Corresta T. Canfield,physician,1833-03-06T00:00:00Z,1920-05-01T00:00:00Z,,
Jane Plant,engineer,1945-02-01T00:00:00Z,2016-03-04T00:00:00Z,United Kingdom,Fellow of the Royal Society of Arts
Agnes Meyer Driscoll,mathematician,1889-07-24T00:00:00Z,1971-09-16T00:00:00Z,United States of America,
Q12081842,biologist,1900-06-14T00:00:00Z,1971-06-21T00:00:00Z,,
Giuseppina Pastori,biologist,1891-10-12T00:00:00Z,1983-01-01T00:00:00Z,Kingdom of Italy,
Mary Elizabeth Parsons,botanist,1859-08-01T00:00:00Z,1947-12-21T00:00:00Z,United States of America,
Yoelle Maarek,computer scientist,1962-06-01T00:00:00Z,,Israel,ACM Fellow
Janice Lourie,computer scientist,1930-07-09T00:00:00Z,,United States of America,
Wilma Olson,chemist,1945-01-01T00:00:00Z,,United States of America,John Simon Guggenheim Memorial Foundation Fellowship
Ayah Bdeir,engineer,1982-01-01T00:00:00Z,,Canada,BBC 100 Women
Natalia Restrepo Escobar,biologist,1950-01-01T00:00:00Z,,Colombia,
Nancy Andrews,physician,1958-11-29T00:00:00Z,,United States of America,Fellow of the American Academy of Arts and Sciences
Miriam Rothschild,botanist,1908-08-05T00:00:00Z,2005-01-20T00:00:00Z,United Kingdom of Great Britain and Ireland,Fellow of the Royal Entomological Society
Lucie Green,physicist,1975-01-01T00:00:00Z,,United Kingdom,Kohn Award
Gianna Beretta Molla,physician,1922-10-04T00:00:00Z,1962-04-28T00:00:00Z,Italy,
Q27859099,biologist,1913-04-28T00:00:00Z,2010-08-11T00:00:00Z,Soviet Union,"Jubilee Medal ""65 Years of Victory in the Great Patriotic War 1941–1945"""
Linda B. Buck,physician,1947-01-29T00:00:00Z,,United States of America,Foreign Member of the Royal Society
Ling Meng,botanist,1972-01-01T00:00:00Z,,People's Republic of China,
Rosa Olga Sansom,botanist,1900-06-03T00:00:00Z,1989-07-01T00:00:00Z,New Zealand,
Iraida Pavlovna Šelest,physician,1913-03-18T00:00:00Z,2007-02-11T00:00:00Z,Ukraine,
Q26244465,chemist,1919-11-18T00:00:00Z,2006-03-09T00:00:00Z,Soviet Union,Khlopin Prize
Angelika Amon,biologist,1967-01-01T00:00:00Z,,Austria,Alan T. Waterman Award
Oláhné Béládi Ilona,physician,1925-08-06T00:00:00Z,,Hungary,
Johanna Weber,mathematician,1910-08-08T00:00:00Z,2014-10-24T00:00:00Z,Germany,
María Victoria Gil Álvarez,chemist,1973-01-01T00:00:00Z,,Spain,
Kleopatra Shevchenko,physician,1909-10-13T00:00:00Z,1988-04-26T00:00:00Z,Russian Empire,Order of the Red Banner of Labour
Mei-Yin Chou,physicist,1958-01-01T00:00:00Z,,Taiwan,Fellow of the American Physical Society
Victoria Kaspi,physicist,1967-06-30T00:00:00Z,,United States of America,Acfas Urgel-Archambeault Award
Victoria Kaspi,physicist,1967-06-30T00:00:00Z,,United States of America,Prix Marie-Victorin
Linda Saif,biologist,1947-01-01T00:00:00Z,,United States of America,AAAS Fellow
Anahita Ratebzad,physician,1931-10-01T00:00:00Z,2014-09-07T00:00:00Z,Afghanistan,
Zinaida Belykh,chemist,1941-06-19T00:00:00Z,,Russia,Q4375484
Luisa Torsi,chemist,1964-01-01T00:00:00Z,,Italy,Heinrich Emanuel Merck Prize
Nora Lilian Alcock,biologist,1874-08-18T00:00:00Z,1972-03-31T00:00:00Z,,Fellow of the Linnean Society of London
Grete Hermann,mathematician,1901-03-02T00:00:00Z,1984-02-15T00:00:00Z,Germany,
Carol V. Robinson,chemist,1956-04-10T00:00:00Z,,United Kingdom,Biemann Medal
Esther Ndeti,engineer,1985-01-01T00:00:00Z,,,
Emma Rochelle Wheeler,physician,1882-02-07T00:00:00Z,1957-09-12T00:00:00Z,,
Naama Barkai,biologist,1967-01-01T00:00:00Z,,Israel,Michael Bruno Memorial Award
Cynthia Wyels,mathematician,,,,
Jannie Borst,physician,,,,
Cheng Xiang Zhai,computer scientist,,,,Presidential Early Career Award for Scientists and Engineers
Elaine Fuchs,biologist,1950-05-05T00:00:00Z,,United States of America,March of Dimes Prize in Developmental Biology
Henrietta Swan Leavitt,astronomer,1868-07-04T00:00:00Z,1921-12-12T00:00:00Z,United States of America,
Winona Hazel Welch,botanist,1896-05-05T00:00:00Z,1990-01-16T00:00:00Z,,
Emily N. Wabuyele,botanist,1953-01-01T00:00:00Z,,,
Winona Hazel Welch,botanist,1896-05-05T00:00:00Z,1990-01-18T00:00:00Z,,
Émilie du Châtelet,physicist,1706-12-17T00:00:00Z,1748-09-10T00:00:00Z,France,
Reham Yacoub,physician,1991-12-28T00:00:00Z,2020-08-19T00:00:00Z,Iraq,
Yang Fuqing,computer scientist,1932-11-06T00:00:00Z,,People's Republic of China,
Milda Narmontienė,physician,1953-11-14T00:00:00Z,,,
Sue Geller,mathematician,,,,
Ainomaija Haarla,engineer,1953-01-01T00:00:00Z,,Finland,
Monique Teillaud,computer scientist,1961-06-14T00:00:00Z,,France,
Lisette de Pillis,mathematician,,,,Fellow of the American Mathematical Society
Kathleen Antonelli,programmer,1921-02-12T00:00:00Z,2006-04-20T00:00:00Z,Ireland,Women in Technology International
Gertrude B. Elion,biologist,1918-01-23T00:00:00Z,1999-02-21T00:00:00Z,United States of America,Women in Technology International
Cynthia Bir,engineer,,,,
Katherine Sopka,physicist,,2009-07-30T00:00:00Z,United States of America,
Mariam Yahia Ibrahim Ishag,physician,1987-11-03T00:00:00Z,,Sudan,
Salme Vannas,physician,1918-10-25T00:00:00Z,1993-09-04T00:00:00Z,Finland,
Wendy Arlene Clay,physician,1942-09-27T00:00:00Z,,Canada,
Karin Spoof,physician,1880-01-01T00:00:00Z,1967-02-16T00:00:00Z,,
Hedwig Hahn,physician,1891-10-18T00:00:00Z,1980-11-16T00:00:00Z,German Democratic Republic,
Nella Mortara,physicist,1893-02-23T00:00:00Z,1988-07-02T00:00:00Z,Kingdom of Italy,
Elvira Cuevas,biologist,1950-08-20T00:00:00Z,,Puerto Rico,John Simon Guggenheim Memorial Foundation Fellowship
Lynn Margulis,botanist,1938-03-05T00:00:00Z,2011-11-22T00:00:00Z,United States of America,William Procter Prize for Scientific Achievement
Kirsten Kraiberg Knudsen,astronomer,1976-01-01T00:00:00Z,,,
Lori Mann Bruce,engineer,2000-01-01T00:00:00Z,,United States of America,
Katri Rehtijärvi,physician,1912-02-07T00:00:00Z,1987-05-15T00:00:00Z,Finland,
Blanca Renée Arrillaga,botanist,1917-01-01T00:00:00Z,2011-01-01T00:00:00Z,Uruguay,
Dianne P. O'Leary,mathematician,1951-11-20T00:00:00Z,,United States of America,Fellow of the Society for Industrial and Applied Mathematics
Sirkka Kupila-Ahvenniemi,botanist,1927-07-05T00:00:00Z,2012-04-01T00:00:00Z,Finland,
Miriam Rothschild,botanist,1908-08-05T00:00:00Z,2005-01-20T00:00:00Z,United Kingdom of Great Britain and Ireland,Victoria Medal of Honour
Józefa Rostkowska,physician,1784-03-19T00:00:00Z,1896-07-18T00:00:00Z,Russian Empire,"5th class, Order of the Medjidie"
Augusta Vera Duthie,botanist,1881-07-18T00:00:00Z,1963-10-23T00:00:00Z,South Africa,
Florence Yeldham,mathematician,1877-10-30T00:00:00Z,1945-01-10T00:00:00Z,United Kingdom,
Kathryn Leonard,computer scientist,,,United States of America,
Monique Combescure,physicist,1950-04-23T00:00:00Z,,France,Ernest-Dechelle Award
Janet Rideout,chemist,1939-01-01T00:00:00Z,,,
Elsa Garófalo,chemist,1950-01-01T00:00:00Z,,Uruguay,
Jessie Aspinall,physician,1880-12-10T00:00:00Z,1953-08-25T00:00:00Z,Australia,
Eva del V. Bulacio,botanist,,,,
Patricia Hiriart,botanist,,,,
Q18635078,chemist,1944-07-16T00:00:00Z,,Russia,Order of Lenin
Dawn Song,computer scientist,1975-01-01T00:00:00Z,,People's Republic of China,ACM Fellow
Margaret Irving Handy,physician,1889-01-01T00:00:00Z,1977-01-01T00:00:00Z,United States of America,Hall of Fame of Delaware Women
Juana G. Infantes Vera,botanist,1907-01-01T00:00:00Z,1974-01-01T00:00:00Z,Peru,
Q65196538,biologist,1948-09-06T00:00:00Z,,,
Tanja Bergkvist,mathematician,1974-01-03T00:00:00Z,,Sweden,
Q65200029,physicist,1939-09-10T00:00:00Z,,,
Mary Edwards,astronomer,1750-01-01T00:00:00Z,1815-01-01T00:00:00Z,United Kingdom of Great Britain and Ireland,
Helen B. Taussig,physician,1898-05-24T00:00:00Z,1986-05-20T00:00:00Z,United States of America,Fellow of the American Academy of Arts and Sciences
Ann Kelleher,engineer,,,,
Burcin Becerik-Gerber,engineer,,,,
Suzy Glowiak,engineer,,,,
Rita Maria de Carvalho-Okano,botanist,1953-01-01T00:00:00Z,,Brazil,
Rosmarie Poldrack,physician,1955-01-01T00:00:00Z,,German Democratic Republic,
Elizabeth Blackburn,biologist,1948-11-26T00:00:00Z,,United States of America,Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research
Dorothy Cooper,botanist,1941-01-01T00:00:00Z,,New Zealand,
Mahaletchumy Arujunan,biologist,1969-01-01T00:00:00Z,,Malaysia,
Maria Grazia Binda,biologist,,,Italy,
Vera Blagojević,physician,1920-05-16T00:00:00Z,1942-03-18T00:00:00Z,axis occupation of Serbia,People's Hero of Yugoslavia
Ida Barney,mathematician,1886-11-06T00:00:00Z,1982-03-07T00:00:00Z,United States of America,Annie Jump Cannon Award in Astronomy
Margaret Faul,chemist,1950-01-01T00:00:00Z,,Ireland,
Anna Watts,physicist,1975-01-01T00:00:00Z,,United Kingdom,
Eva Berneke,engineer,1969-01-01T00:00:00Z,,Denmark,
María Inmaculada Romero,botanist,,,,
Zinaida Khasbulatova,chemist,1956-03-27T00:00:00Z,,Soviet Union,
Albertine Biermann,botanist,1921-06-06T00:00:00Z,2019-04-03T00:00:00Z,Luxembourg,
Mags Portman,physician,1974-05-27T00:00:00Z,2019-02-06T00:00:00Z,United Kingdom,
Françoise Soussaline,physicist,1945-09-03T00:00:00Z,,France,Knight of the Legion of Honour
Mary Douglas Leakey,biologist,1913-02-06T00:00:00Z,1996-12-09T00:00:00Z,United Kingdom,Fellow of the British Academy
Katie Rodan,physician,1950-01-01T00:00:00Z,,,
Lesley Cormack,mathematician,1957-01-01T00:00:00Z,,,
Margaret M. Murnane,physicist,1959-01-23T00:00:00Z,,United States of America,Richtmyer Memorial Award
Tatiana Anodina,engineer,1939-04-16T00:00:00Z,,Russia,"Medal ""For Labour Valour"""
Elena Aprile,physicist,1954-03-12T00:00:00Z,,United States of America,Fellow of the American Physical Society
Randi J. Hagerman,physician,,,,
Vira Troian,biologist,1940-09-01T00:00:00Z,,Ukraine,
Natalia Borisovna Lomakina,botanist,1905-01-01T00:00:00Z,1972-01-01T00:00:00Z,Soviet Union,
Julie Payette,engineer,1963-10-20T00:00:00Z,,Canada,Knight of the National Order of Quebec
Chi Onwurah,engineer,1965-04-12T00:00:00Z,,United Kingdom,honorary fellow
Ann E. McDermott,biologist,,,United States of America,Bourke Award
Pauline van den Driessche,mathematician,1941-01-01T00:00:00Z,,Canada,Krieger–Nelson Prize
María Ángela Nieto Toledano,chemist,1960-03-01T00:00:00Z,,Spain,Spanish National Team of Science
Isabella Karle,chemist,1921-12-02T00:00:00Z,2017-10-03T00:00:00Z,United States of America,Chemical Pioneer Award
Beatrice Mabel Cave-Browne-Cave,mathematician,1874-05-30T00:00:00Z,1947-07-09T00:00:00Z,United Kingdom,Member of the Order of the British Empire
Elizabeth J. Feinler,chemist,1931-03-02T00:00:00Z,,United States of America,Internet Hall of Fame
Regina Helena Potsch Andreata,botanist,1947-01-01T00:00:00Z,,Brazil,
Catharine van Tussenbroek,physician,1852-08-04T00:00:00Z,1925-05-05T00:00:00Z,Kingdom of the Netherlands,
Katherine Johnson,computer scientist,1918-08-26T00:00:00Z,2020-02-24T00:00:00Z,United States of America,BBC 100 Women
Luciana Barbosa de Oliveira Santos,engineer,1965-12-29T00:00:00Z,,Brazil,
Tinatin Asatiani,physicist,1918-03-12T00:00:00Z,2011-07-20T00:00:00Z,Transcaucasian Democratic Federative Republic,Soros Prize
Leena Gade,engineer,1976-03-01T00:00:00Z,,United Kingdom,
Giuseppina Pastori,biologist,1891-10-12T00:00:00Z,1983-01-01T00:00:00Z,Italy,
Heidi Lyng,physicist,1960-10-12T00:00:00Z,,Norway,Q76179587
Taslima Nasrin,physician,1962-08-25T00:00:00Z,,Pakistan,Kurt Tucholsky Prize
Angelina Guskova,physician,1924-03-29T00:00:00Z,2015-04-07T00:00:00Z,Soviet Union,Order of Friendship of Peoples
Renata Jacomo Paixão,botanist,,,,
Alison E. L. Colwell,botanist,,,,
Ana Kelly Koch,botanist,,,,
Angela E. Aldridge,botanist,,,,
Phyllis M. Faber,botanist,,,United States of America,
Nicole Andrus,botanist,,,,
Remedios Aguilar-Santelises,botanist,,,,
Thelma Estrin,computer scientist,1924-02-21T00:00:00Z,2014-02-15T00:00:00Z,United States of America,Women in Technology Hall of Fame
Dorothy Adlington Cadbury,botanist,1892-10-14T00:00:00Z,1987-08-21T00:00:00Z,United Kingdom,
Françoise Wilhelmi de Toledo,physician,1953-01-01T00:00:00Z,,Switzerland,
Regine Feigl,chemist,,,,
Pärja Nirk,chemist,1936-07-18T00:00:00Z,1994-06-30T00:00:00Z,,
Mari Carmen Urbieta Gonzalez,physician,1955-07-19T00:00:00Z,,Spain,
Kelly Anne Shepherd,botanist,1970-01-01T00:00:00Z,,,
Helen Caldicott,physician,1938-08-07T00:00:00Z,,Australia,Gandhi Peace Award
Lone Aagesen,biologist,1967-01-01T00:00:00Z,,Argentina,
Marie Mercury Roth,chemist,1926-04-30T00:00:00Z,2020-01-03T00:00:00Z,,
Christine Darden,mathematician,1942-09-10T00:00:00Z,,United States of America,NCWIT Pioneer in Tech Award
Masha Nazeem,engineer,1993-01-01T00:00:00Z,,,
Fanny R. M. Hitchcock,mathematician,1851-11-07T00:00:00Z,1936-09-25T00:00:00Z,United States of America,AAAS Fellow
Q61136410,mathematician,1939-01-01T00:00:00Z,,,
Q65195543,mathematician,2001-01-01T00:00:00Z,,,
Morag Crichton Timbury,physician,1930-09-29T00:00:00Z,2018-04-28T00:00:00Z,United Kingdom,Fellow of the Royal College of Physicians and Surgeons of Glasgow
Margita von Rochow,botanist,1921-01-01T00:00:00Z,1974-01-01T00:00:00Z,,
Stephanie L. Kwolek,chemist,1923-07-31T00:00:00Z,2014-06-18T00:00:00Z,Poland,IRI Achievement Award
Helen M. Chan,engineer,,,,
Julia Warner Snow,botanist,1863-01-01T00:00:00Z,1927-01-01T00:00:00Z,United States of America,
Charlotte Auerbach,biologist,1899-05-14T00:00:00Z,1994-03-17T00:00:00Z,United Kingdom,honorary doctor of Leiden University
Lída Kirschnerová,botanist,,,,
Leah Keshet,biologist,,,Canada,Fellow of the Society for Industrial and Applied Mathematics
Irena Aulitisová,physician,1936-01-01T00:00:00Z,,Czechoslovakia,
Shelly M. Jones,mathematician,,,,
Agnieszka Zalewska,physicist,1948-09-24T00:00:00Z,,Poland,Gold Cross of Merit
Latifa Elouadrhiri,physicist,,,Morocco,Fellow of the American Physical Society
Ruzena Bajcsy,engineer,1933-01-01T00:00:00Z,,United States of America,Benjamin Franklin Medal
Zohra Begum Kazi,physician,1912-10-15T00:00:00Z,2007-11-07T00:00:00Z,Pakistan,Ekushey Padak
